epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6544,1.92752,9.08976,0.03305,0.20496,0.13095,0.11196,0.02829,1.86764,13.7565,0.04334,0.000512923,0.000512923,0.000512923
2,45.7881,1.5463,5.49869,0.02612,0.11243,0.11905,0.04322,0.0093,2.75522,14.0851,0.07872,0.00105096,0.00105096,0.00105096
3,54.3539,1.59251,3.57193,0.02629,0.23451,0.27381,0.18128,0.05213,2.20313,5.22385,0.05306,0.00157066,0.00157066,0.00157066
4,62.7207,1.69471,2.91623,0.02921,0.67486,0.21779,0.28146,0.10634,2.06735,5.85486,0.0483,0.00158448,0.00158448,0.00158448
5,70.8952,1.59938,2.56657,0.02652,0.50048,0.34524,0.28634,0.05872,2.57611,3.86305,0.06692,0.00155698,0.00155698,0.00155698
6,79.6864,1.62551,2.26682,0.02738,0.24906,0.33333,0.21576,0.08603,2.04059,2.72948,0.04893,0.00152947,0.00152947,0.00152947
7,87.3408,1.64642,2.04933,0.02906,0.75046,0.19048,0.25725,0.08766,2.2984,2.66591,0.05568,0.00150197,0.00150197,0.00150197
8,96.5813,1.69362,2.07846,0.02806,0.118,0.2381,0.12406,0.03299,2.3304,2.96424,0.05917,0.00147446,0.00147446,0.00147446
9,103.683,1.71975,1.82766,0.02962,0.06664,0.09524,0.05403,0.01646,2.83317,3.98038,0.07834,0.00144696,0.00144696,0.00144696
10,112.677,1.71784,1.68531,0.02866,0.62784,0.22619,0.17754,0.0381,2.76469,3.40962,0.08,0.00141945,0.00141945,0.00141945
11,119.92,1.69067,1.70761,0.02825,0.54993,0.25938,0.34595,0.12409,2.13949,2.59693,0.04915,0.00139195,0.00139195,0.00139195
12,128.791,1.70959,1.68137,0.02888,0.39022,0.5119,0.35864,0.12298,1.97768,2.3042,0.0444,0.00136444,0.00136444,0.00136444
13,136.281,1.67456,1.73003,0.02905,0.58749,0.65476,0.59344,0.24809,2.1446,1.54392,0.05016,0.00133693,0.00133693,0.00133693
14,145.378,1.70465,1.56359,0.02908,0.6268,0.7619,0.6868,0.26636,2.13249,1.58235,0.04757,0.00130943,0.00130943,0.00130943
15,154.074,1.66632,1.53847,0.02739,0.54961,0.67857,0.63189,0.25595,2.08151,1.70401,0.04805,0.00128192,0.00128192,0.00128192
